samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,-157.5,101.25,-292.5,-416.25,-105,-37.5,-18.75,33.75,-99.16666666666667
1,-108.75,105,-288.75,-401.25,-131.25,-63.75,-33.75,26.25,-99.58333333333333
2,-97.5,71.25,-296.25,-397.5,-176.25,-112.5,-71.25,0,-120.0
3,-97.5,41.25,-292.5,-382.5,-191.25,-138.75,-97.5,-26.25,-131.66666666666666
4,-71.25,52.5,-262.5,-341.25,-176.25,-135,-97.5,-26.25,-117.5
5,-56.25,60,-236.25,-296.25,-150,-120,-86.25,-18.75,-100.41666666666667
6,-52.5,71.25,-206.25,-228.75,-101.25,-86.25,-60,3.75,-73.33333333333333
7,0,123.75,-153.75,-150,-41.25,-37.5,-22.5,37.5,-27.083333333333332
8,67.5,176.25,-108.75,-97.5,-3.75,-15,0,48.75,7.5
9,90,180,-82.5,-67.5,11.25,-7.5,3.75,52.5,20.0
10,48.75,131.25,-75,-63.75,7.5,-18.75,-11.25,37.5,6.25
11,-18.75,67.5,-82.5,-71.25,-11.25,-41.25,-33.75,15,-19.583333333333332
12,-41.25,33.75,-78.75,-75,-22.5,-52.5,-48.75,3.75,-31.25
13,-18.75,33.75,-78.75,-75,-26.25,-63.75,-63.75,-7.5,-33.333333333333336
14,15,60,-67.5,-71.25,-26.25,-67.5,-60,-3.75,-24.583333333333332
15,22.5,60,-67.5,-75,-37.5,-71.25,-67.5,-11.25,-27.5
16,-18.75,22.5,-71.25,-82.5,-52.5,-82.5,-78.75,-30,-43.75
17,-45,7.5,-67.5,-82.5,-48.75,-82.5,-82.5,-30,-47.916666666666664
18,-33.75,11.25,-63.75,-78.75,-48.75,-78.75,-82.5,-33.75,-45.416666666666664
19,-22.5,7.5,-67.5,-86.25,-60,-90,-90,-41.25,-50.0
20,11.25,41.25,-52.5,-71.25,-56.25,-82.5,-82.5,-30,-35.833333333333336
21,30,82.5,-33.75,-48.75,-33.75,-67.5,-63.75,-7.5,-15.833333333333334
22,11.25,56.25,-48.75,-60,-45,-78.75,-75,-22.5,-29.166666666666668
23,7.5,30,-71.25,-78.75,-63.75,-97.5,-93.75,-37.5,-45.0
24,22.5,56.25,-56.25,-63.75,-52.5,-86.25,-82.5,-22.5,-31.666666666666668
25,30,63.75,-60,-63.75,-56.25,-90,-86.25,-30,-32.5
26,56.25,67.5,-60,-67.5,-60,-93.75,-90,-33.75,-31.25
27,63.75,75,-56.25,-63.75,-52.5,-90,-82.5,-30,-26.25
28,30,52.5,-56.25,-67.5,-52.5,-90,-82.5,-30,-32.916666666666664
29,26.25,37.5,-60,-75,-63.75,-97.5,-90,-37.5,-40.0
30,41.25,48.75,-52.5,-67.5,-60,-93.75,-86.25,-37.5,-34.166666666666664
31,26.25,37.5,-60,-71.25,-67.5,-101.25,-90,-41.25,-40.833333333333336
32,-3.75,11.25,-71.25,-78.75,-75,-108.75,-97.5,-45,-52.083333333333336
33,-3.75,26.25,-67.5,-71.25,-63.75,-101.25,-93.75,-37.5,-45.833333333333336
34,15,45,-63.75,-63.75,-56.25,-93.75,-86.25,-30,-37.083333333333336
35,48.75,60,-60,-56.25,-52.5,-86.25,-78.75,-22.5,-27.5
36,60,71.25,-56.25,-56.25,-52.5,-86.25,-75,-18.75,-23.75
37,63.75,71.25,-52.5,-48.75,-41.25,-78.75,-71.25,-15,-19.166666666666668
38,48.75,56.25,-60,-56.25,-45,-82.5,-75,-18.75,-25.833333333333332
39,30,33.75,-63.75,-63.75,-56.25,-90,-82.5,-26.25,-35.416666666666664
40,41.25,37.5,-56.25,-56.25,-48.75,-82.5,-75,-18.75,-28.75
41,56.25,48.75,-52.5,-52.5,-41.25,-78.75,-67.5,-15,-22.5
42,33.75,41.25,-56.25,-52.5,-41.25,-75,-67.5,-18.75,-26.25
43,22.5,33.75,-63.75,-52.5,-45,-78.75,-71.25,-18.75,-30.416666666666668
44,71.25,63.75,-60,-45,-37.5,-75,-63.75,-15,-17.916666666666668
45,116.25,101.25,-56.25,-37.5,-26.25,-67.5,-56.25,-3.75,-3.3333333333333335
46,97.5,93.75,-60,-37.5,-26.25,-67.5,-56.25,-3.75,-6.666666666666667
47,48.75,67.5,-67.5,-45,-37.5,-75,-63.75,-7.5,-20.0
48,33.75,56.25,-67.5,-45,-37.5,-71.25,-60,-7.5,-22.083333333333332
49,67.5,75,-63.75,-45,-33.75,-71.25,-60,-3.75,-15.0
50,93.75,97.5,-60,-37.5,-26.25,-63.75,-52.5,0,-5.416666666666667
51,97.5,101.25,-60,-37.5,-26.25,-60,-52.5,0,-4.166666666666667
52,86.25,86.25,-67.5,-45,-33.75,-67.5,-60,-7.5,-12.083333333333334
53,63.75,63.75,-75,-52.5,-41.25,-75,-67.5,-15,-22.083333333333332
54,52.5,56.25,-71.25,-45,-37.5,-75,-63.75,-11.25,-21.666666666666668
55,67.5,60,-71.25,-41.25,-30,-71.25,-63.75,-11.25,-17.916666666666668
56,93.75,82.5,-67.5,-30,-18.75,-56.25,-48.75,3.75,-4.583333333333333
57,93.75,93.75,-63.75,-22.5,-15,-52.5,-45,11.25,0.0
58,97.5,101.25,-67.5,-22.5,-11.25,-48.75,-41.25,15,2.5
59,120,120,-63.75,-18.75,-7.5,-41.25,-33.75,22.5,10.833333333333334
60,112.5,116.25,-63.75,-18.75,-7.5,-41.25,-33.75,22.5,9.583333333333334
61,101.25,116.25,-63.75,-15,-3.75,-37.5,-30,22.5,10.0
62,93.75,105,-71.25,-22.5,-11.25,-41.25,-33.75,18.75,4.166666666666667
63,101.25,97.5,-78.75,-30,-15,-45,-41.25,11.25,0.0
64,112.5,97.5,-78.75,-33.75,-18.75,-48.75,-37.5,11.25,0.4166666666666667
65,101.25,90,-78.75,-30,-15,-41.25,-33.75,15,0.8333333333333334
66,93.75,93.75,-75,-26.25,-11.25,-41.25,-33.75,18.75,2.0833333333333335
67,127.5,131.25,-60,-7.5,3.75,-26.25,-18.75,33.75,20.416666666666668
68,176.25,168.75,-52.5,3.75,15,-15,-7.5,45,37.083333333333336
69,187.5,176.25,-60,0,11.25,-18.75,-7.5,45,37.083333333333336
70,168.75,165,-63.75,-7.5,7.5,-18.75,-11.25,45,31.666666666666668
71,153.75,150,-67.5,-7.5,3.75,-22.5,-11.25,45,27.083333333333332
72,138.75,135,-75,-11.25,0,-22.5,-15,45,21.666666666666668
73,142.5,142.5,-75,-7.5,7.5,-18.75,-7.5,48.75,25.833333333333332
74,142.5,135,-78.75,-15,3.75,-22.5,-11.25,41.25,21.666666666666668
75,131.25,112.5,-86.25,-22.5,-7.5,-33.75,-18.75,37.5,12.5
76,127.5,97.5,-90,-30,-11.25,-33.75,-22.5,33.75,7.916666666666667
77,120,93.75,-97.5,-33.75,-15,-33.75,-22.5,30,4.583333333333333
78,127.5,105,-97.5,-30,-15,-37.5,-22.5,33.75,7.083333333333333
79,138.75,123.75,-86.25,-18.75,0,-26.25,-7.5,45,18.75
80,123.75,123.75,-82.5,-11.25,7.5,-15,0,56.25,22.5
81,123.75,116.25,-93.75,-15,-3.75,-26.25,-11.25,48.75,15.416666666666666
82,153.75,127.5,-97.5,-18.75,-3.75,-30,-15,45,17.916666666666668
83,172.5,157.5,-90,-15,0,-18.75,-3.75,56.25,28.75
84,157.5,161.25,-90,-11.25,3.75,-11.25,3.75,63.75,30.833333333333332
85,150,142.5,-97.5,-18.75,0,-15,0,60,24.583333333333332
86,168.75,142.5,-108.75,-33.75,-11.25,-26.25,-7.5,52.5,19.583333333333332
87,187.5,153.75,-105,-33.75,-11.25,-26.25,-3.75,52.5,23.75
88,191.25,153.75,-101.25,-26.25,-3.75,-18.75,3.75,60,28.75
89,198.75,161.25,-93.75,-18.75,0,-15,7.5,67.5,34.166666666666664
90,210,180,-90,-15,3.75,-11.25,15,75,40.833333333333336
91,202.5,172.5,-93.75,-18.75,3.75,-11.25,11.25,75,37.916666666666664
92,191.25,165,-97.5,-15,0,-11.25,11.25,75,35.416666666666664
93,198.75,168.75,-101.25,-15,-3.75,-18.75,7.5,71.25,34.166666666666664
94,210,168.75,-112.5,-30,-11.25,-26.25,3.75,67.5,30.0
95,240,206.25,-101.25,-22.5,-7.5,-15,18.75,82.5,44.583333333333336
96,255,228.75,-93.75,-15,3.75,-3.75,26.25,93.75,55.0
97,225,176.25,-116.25,-33.75,-18.75,-30,3.75,75,31.25
98,210,146.25,-127.5,-52.5,-33.75,-41.25,-7.5,63.75,17.5
99,217.5,153.75,-123.75,-52.5,-37.5,-37.5,-3.75,63.75,20.0
100,217.5,157.5,-123.75,-56.25,-41.25,-41.25,-7.5,60,18.333333333333332
101,195,146.25,-123.75,-56.25,-45,-45,-11.25,60,13.333333333333334
102,165,131.25,-123.75,-60,-45,-48.75,-11.25,60,7.5
103,183.75,161.25,-112.5,-48.75,-33.75,-37.5,3.75,75,21.25
104,221.25,198.75,-105,-37.5,-30,-33.75,7.5,82.5,33.75
105,232.5,191.25,-120,-52.5,-45,-48.75,-3.75,71.25,25.0
106,225,180,-127.5,-63.75,-56.25,-56.25,-15,63.75,16.666666666666668
107,225,187.5,-123.75,-63.75,-56.25,-60,-15,71.25,18.333333333333332
108,240,202.5,-112.5,-60,-56.25,-52.5,-7.5,78.75,25.833333333333332
109,202.5,195,-105,-48.75,-45,-41.25,3.75,90,27.916666666666668
110,153.75,161.25,-112.5,-60,-52.5,-48.75,-3.75,78.75,12.916666666666666
111,195,157.5,-131.25,-82.5,-75,-67.5,-26.25,56.25,2.9166666666666665
112,240,187.5,-116.25,-71.25,-63.75,-56.25,-11.25,71.25,20.0
