samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,82.5,75,-41.25,18.75,-56.25,-56.25,-56.25,-63.75,-10.833333333333334
1,90,82.5,-41.25,22.5,-63.75,-63.75,-63.75,-71.25,-12.083333333333334
2,101.25,90,-45,26.25,-75,-75,-75,-82.5,-15.0
3,108.75,93.75,-45,33.75,-82.5,-82.5,-78.75,-90,-15.833333333333334
4,116.25,93.75,-45,37.5,-86.25,-86.25,-86.25,-93.75,-16.666666666666668
5,120,90,-45,41.25,-90,-90,-90,-93.75,-17.5
6,120,86.25,-41.25,41.25,-93.75,-97.5,-93.75,-97.5,-19.583333333333332
7,123.75,82.5,-41.25,41.25,-97.5,-101.25,-97.5,-97.5,-20.833333333333332
8,127.5,75,-41.25,41.25,-101.25,-105,-101.25,-105,-23.333333333333332
9,131.25,75,-37.5,41.25,-108.75,-116.25,-108.75,-108.75,-25.833333333333332
10,131.25,75,-41.25,33.75,-116.25,-123.75,-116.25,-112.5,-30.0
11,127.5,75,-37.5,33.75,-123.75,-127.5,-123.75,-120,-32.916666666666664
12,120,78.75,-37.5,30,-127.5,-135,-127.5,-123.75,-35.833333333333336
13,112.5,86.25,-30,26.25,-127.5,-135,-131.25,-131.25,-36.666666666666664
14,101.25,86.25,-30,22.5,-131.25,-138.75,-135,-135,-40.0
15,93.75,90,-26.25,18.75,-131.25,-142.5,-138.75,-138.75,-41.666666666666664
16,82.5,90,-22.5,15,-135,-142.5,-142.5,-142.5,-44.166666666666664
17,75,90,-22.5,11.25,-135,-146.25,-142.5,-146.25,-46.25
18,71.25,93.75,-18.75,7.5,-138.75,-150,-146.25,-150,-47.916666666666664
19,67.5,93.75,-18.75,7.5,-142.5,-157.5,-153.75,-153.75,-50.833333333333336
20,67.5,93.75,-18.75,0,-150,-161.25,-161.25,-165,-55.0
21,67.5,93.75,-18.75,-3.75,-157.5,-168.75,-168.75,-168.75,-58.333333333333336
22,67.5,93.75,-22.5,-7.5,-161.25,-176.25,-176.25,-176.25,-62.083333333333336
23,60,90,-18.75,-11.25,-168.75,-180,-180,-183.75,-65.83333333333333
24,56.25,82.5,-22.5,-15,-172.5,-183.75,-180,-183.75,-68.75
25,48.75,78.75,-22.5,-22.5,-176.25,-187.5,-183.75,-187.5,-72.5
26,37.5,67.5,-18.75,-22.5,-180,-187.5,-183.75,-191.25,-75.41666666666667
27,26.25,56.25,-18.75,-30,-176.25,-187.5,-183.75,-191.25,-78.33333333333333
28,15,45,-15,-26.25,-176.25,-183.75,-180,-187.5,-78.75
29,7.5,33.75,-11.25,-30,-176.25,-183.75,-183.75,-191.25,-81.66666666666667
30,0,22.5,-7.5,-30,-172.5,-180,-180,-187.5,-81.66666666666667
31,0,15,-3.75,-33.75,-176.25,-183.75,-180,-191.25,-83.75
32,-3.75,7.5,0,-30,-172.5,-183.75,-180,-187.5,-83.33333333333333
33,0,0,0,-33.75,-176.25,-183.75,-183.75,-187.5,-85.0
34,-7.5,-7.5,0,-37.5,-180,-191.25,-187.5,-191.25,-89.16666666666667
35,-7.5,-11.25,0,-41.25,-180,-191.25,-191.25,-191.25,-90.41666666666667
36,-15,-11.25,0,-41.25,-183.75,-195,-195,-195,-92.91666666666667
37,-18.75,-18.75,0,-45,-187.5,-198.75,-195,-198.75,-95.83333333333333
38,-30,-18.75,0,-48.75,-191.25,-198.75,-198.75,-202.5,-98.75
39,-33.75,-18.75,0,-56.25,-195,-202.5,-202.5,-206.25,-101.66666666666667
40,-41.25,-26.25,-3.75,-63.75,-198.75,-206.25,-206.25,-206.25,-105.83333333333333
41,-48.75,-30,-7.5,-71.25,-206.25,-210,-206.25,-210,-110.0
42,-48.75,-33.75,-11.25,-75,-206.25,-213.75,-210,-213.75,-112.5
43,-52.5,-37.5,-11.25,-78.75,-213.75,-217.5,-213.75,-217.5,-115.83333333333333
44,-52.5,-37.5,-15,-86.25,-221.25,-217.5,-217.5,-221.25,-118.75
45,-52.5,-37.5,-22.5,-93.75,-221.25,-225,-221.25,-228.75,-122.5
46,-48.75,-37.5,-26.25,-97.5,-228.75,-228.75,-228.75,-228.75,-125.0
47,-56.25,-30,-26.25,-101.25,-232.5,-232.5,-228.75,-228.75,-126.25
48,-56.25,-30,-33.75,-105,-236.25,-236.25,-236.25,-232.5,-129.58333333333334
49,-60,-26.25,-37.5,-108.75,-240,-240,-236.25,-236.25,-131.66666666666666
50,-63.75,-22.5,-41.25,-112.5,-240,-240,-236.25,-236.25,-132.5
51,-63.75,-26.25,-37.5,-116.25,-240,-240,-240,-236.25,-133.33333333333334
52,-67.5,-30,-45,-116.25,-240,-240,-236.25,-240,-135.0
53,-71.25,-33.75,-37.5,-116.25,-243.75,-236.25,-236.25,-240,-135.0
54,-71.25,-41.25,-37.5,-116.25,-240,-236.25,-236.25,-236.25,-135.0
55,-75,-45,-37.5,-116.25,-240,-236.25,-236.25,-240,-136.25
56,-71.25,-48.75,-33.75,-116.25,-240,-236.25,-236.25,-240,-135.83333333333334
57,-75,-52.5,-30,-112.5,-236.25,-236.25,-232.5,-236.25,-134.58333333333334
58,-71.25,-52.5,-33.75,-112.5,-236.25,-232.5,-232.5,-240,-134.58333333333334
59,-71.25,-56.25,-26.25,-112.5,-232.5,-232.5,-232.5,-232.5,-132.91666666666666
60,-71.25,-60,-26.25,-112.5,-232.5,-232.5,-228.75,-232.5,-132.91666666666666
61,-71.25,-60,-22.5,-108.75,-232.5,-228.75,-228.75,-232.5,-131.66666666666666
62,-67.5,-56.25,-26.25,-112.5,-232.5,-228.75,-228.75,-232.5,-131.66666666666666
63,-67.5,-52.5,-30,-116.25,-236.25,-232.5,-232.5,-236.25,-133.75
64,-67.5,-45,-30,-116.25,-240,-236.25,-232.5,-236.25,-133.75
65,-71.25,-37.5,-37.5,-120,-240,-236.25,-236.25,-236.25,-135.0
66,-67.5,-26.25,-41.25,-123.75,-243.75,-240,-236.25,-243.75,-135.83333333333334
67,-67.5,-22.5,-45,-127.5,-243.75,-243.75,-236.25,-243.75,-136.66666666666666
68,-67.5,-18.75,-48.75,-127.5,-247.5,-247.5,-236.25,-243.75,-137.5
69,-63.75,-18.75,-52.5,-127.5,-247.5,-247.5,-236.25,-243.75,-137.5
70,-67.5,-22.5,-48.75,-127.5,-247.5,-247.5,-240,-240,-137.91666666666666
71,-67.5,-26.25,-48.75,-127.5,-243.75,-243.75,-236.25,-240,-137.08333333333334
72,-63.75,-33.75,-48.75,-123.75,-243.75,-243.75,-240,-240,-137.5
73,-63.75,-37.5,-48.75,-123.75,-240,-240,-240,-236.25,-136.66666666666666
74,-60,-37.5,-48.75,-123.75,-240,-240,-240,-236.25,-136.25
75,-60,-37.5,-48.75,-123.75,-240,-236.25,-236.25,-240,-135.83333333333334
76,-56.25,-33.75,-48.75,-120,-240,-236.25,-236.25,-240,-134.58333333333334
77,-56.25,-26.25,-48.75,-123.75,-236.25,-232.5,-236.25,-236.25,-132.91666666666666
78,-56.25,-22.5,-45,-123.75,-240,-232.5,-232.5,-240,-132.5
79,-56.25,-18.75,-48.75,-120,-236.25,-232.5,-236.25,-236.25,-131.66666666666666
80,-52.5,-15,-48.75,-120,-236.25,-228.75,-228.75,-236.25,-129.58333333333334
81,-52.5,-11.25,-45,-120,-232.5,-228.75,-225,-232.5,-127.5
82,-56.25,-11.25,-45,-116.25,-232.5,-228.75,-225,-232.5,-127.5
83,-52.5,-11.25,-45,-116.25,-228.75,-228.75,-225,-232.5,-126.66666666666667
84,-56.25,-11.25,-45,-116.25,-225,-225,-221.25,-228.75,-125.41666666666667
85,-60,-11.25,-45,-116.25,-225,-225,-217.5,-221.25,-124.58333333333333
86,-60,-15,-37.5,-108.75,-221.25,-221.25,-217.5,-221.25,-122.5
87,-60,-11.25,-41.25,-112.5,-225,-221.25,-217.5,-221.25,-123.33333333333333
88,-60,-18.75,-33.75,-105,-221.25,-221.25,-213.75,-217.5,-121.25
89,-60,-15,-33.75,-105,-221.25,-221.25,-217.5,-217.5,-121.25
90,-63.75,-15,-33.75,-101.25,-221.25,-221.25,-217.5,-221.25,-121.66666666666667
91,-63.75,-15,-41.25,-108.75,-221.25,-221.25,-217.5,-221.25,-123.33333333333333
92,-60,-15,-37.5,-105,-221.25,-221.25,-217.5,-221.25,-122.08333333333333
93,-63.75,-18.75,-45,-108.75,-221.25,-221.25,-217.5,-221.25,-124.16666666666667
94,-63.75,-15,-45,-112.5,-221.25,-221.25,-221.25,-225,-125.0
95,-63.75,-15,-48.75,-108.75,-221.25,-221.25,-217.5,-225,-124.58333333333333
96,-63.75,-15,-48.75,-108.75,-225,-225,-217.5,-228.75,-125.83333333333333
97,-63.75,-15,-48.75,-112.5,-225,-225,-217.5,-228.75,-126.25
98,-63.75,-11.25,-48.75,-112.5,-228.75,-228.75,-221.25,-228.75,-127.08333333333333
99,-63.75,-11.25,-48.75,-116.25,-225,-225,-221.25,-225,-126.25
100,-63.75,-7.5,-45,-116.25,-228.75,-225,-221.25,-228.75,-126.25
101,-60,-7.5,-48.75,-112.5,-228.75,-225,-221.25,-221.25,-125.0
102,-60,-3.75,-45,-116.25,-228.75,-225,-221.25,-221.25,-124.58333333333333
103,-56.25,0,-45,-116.25,-228.75,-228.75,-221.25,-221.25,-124.16666666666667
104,-56.25,3.75,-48.75,-116.25,-232.5,-225,-221.25,-225,-124.58333333333333
105,-52.5,3.75,-48.75,-120,-232.5,-225,-221.25,-221.25,-124.16666666666667
106,-52.5,0,-52.5,-116.25,-232.5,-225,-221.25,-225,-125.0
107,-52.5,0,-56.25,-116.25,-228.75,-225,-217.5,-225,-124.58333333333333
108,-52.5,-3.75,-48.75,-116.25,-232.5,-221.25,-217.5,-225,-124.16666666666667
109,-52.5,-11.25,-52.5,-120,-228.75,-225,-217.5,-225,-125.83333333333333
110,-52.5,-22.5,-52.5,-120,-228.75,-221.25,-213.75,-225,-126.25
111,-56.25,-26.25,-52.5,-120,-225,-221.25,-213.75,-225,-126.66666666666667
112,-56.25,-26.25,-52.5,-120,-228.75,-221.25,-213.75,-225,-127.08333333333333
113,-60,-22.5,-56.25,-123.75,-228.75,-221.25,-217.5,-221.25,-127.91666666666667
114,-60,-15,-60,-127.5,-228.75,-225,-217.5,-228.75,-129.16666666666666
115,-60,-7.5,-60,-123.75,-236.25,-225,-221.25,-228.75,-129.16666666666666
116,-60,3.75,-63.75,-131.25,-236.25,-225,-225,-228.75,-129.58333333333334
117,-56.25,11.25,-63.75,-131.25,-240,-228.75,-228.75,-232.5,-130.0
118,-56.25,18.75,-63.75,-135,-243.75,-232.5,-232.5,-232.5,-130.83333333333334
119,-56.25,18.75,-67.5,-135,-243.75,-232.5,-232.5,-240,-132.08333333333334
120,-48.75,11.25,-67.5,-135,-243.75,-232.5,-232.5,-240,-132.08333333333334
121,-48.75,7.5,-67.5,-135,-247.5,-236.25,-232.5,-240,-133.33333333333334
122,-48.75,0,-63.75,-131.25,-243.75,-236.25,-236.25,-240,-133.33333333333334
