samplenr,I,II,V1,V2,V3,V4,V5,V6,measurement
0,-727.5,-236.25,206.25,165,198.75,41.25,82.5,105,-18.333333333333332
1,-735,-262.5,232.5,180,191.25,22.5,63.75,86.25,-24.583333333333332
2,-757.5,-296.25,266.25,206.25,187.5,0,30,52.5,-34.583333333333336
3,-772.5,-333.75,307.5,240,183.75,-30,-3.75,18.75,-43.333333333333336
4,-783.75,-367.5,348.75,266.25,168.75,-63.75,-48.75,-22.5,-55.833333333333336
5,-787.5,-367.5,386.25,292.5,161.25,-90,-75,-48.75,-58.75
6,-768.75,-352.5,408.75,326.25,176.25,-90,-82.5,-60,-49.166666666666664
7,-738.75,-318.75,446.25,386.25,225,-52.5,-48.75,-30,-14.583333333333334
8,-705,-258.75,491.25,461.25,288.75,7.5,3.75,18.75,34.166666666666664
9,-648.75,-187.5,521.25,536.25,352.5,67.5,63.75,71.25,86.25
10,-596.25,-127.5,532.5,596.25,423.75,135,123.75,127.5,135.0
11,-536.25,-52.5,540,645,491.25,206.25,198.75,198.75,187.91666666666666
12,-472.5,45,532.5,686.25,555,288.75,285,288.75,245.41666666666666
13,-405,142.5,513.75,738.75,633.75,382.5,382.5,382.5,307.9166666666667
14,-348.75,251.25,506.25,795,731.25,502.5,506.25,495,382.0833333333333
15,-330,371.25,483.75,817.5,821.25,633.75,648.75,641.25,454.1666666666667
16,-266.25,525,435,817.5,915,772.5,802.5,795,532.9166666666666
17,-172.5,701.25,412.5,862.5,1038.75,933.75,971.25,956.25,633.75
18,-116.25,888.75,386.25,903.75,1162.5,1102.5,1151.25,1132.5,734.5833333333334
19,-71.25,1106.25,288.75,877.5,1256.25,1267.5,1350,1338.75,823.75
20,-52.5,1263.75,165,813.75,1320,1417.5,1526.25,1518.75,885.8333333333334
21,-56.25,1338.75,71.25,761.25,1391.25,1552.5,1676.25,1657.5,932.5
22,-63.75,1372.5,-11.25,663.75,1421.25,1653.75,1788.75,1755,953.3333333333334
23,-116.25,1357.5,-30,618.75,1470,1740,1867.5,1803.75,967.9166666666666
24,-172.5,1305,-3.75,660,1560,1811.25,1901.25,1800,984.5833333333334
25,-232.5,1260,-33.75,600,1567.5,1818.75,1893.75,1766.25,960.0
26,-333.75,1196.25,-93.75,453.75,1503.75,1770,1837.5,1702.5,892.9166666666666
27,-435,1046.25,-112.5,315,1383.75,1635,1687.5,1556.25,786.25
28,-536.25,858.75,-82.5,217.5,1218.75,1421.25,1470,1353.75,657.9166666666666
29,-626.25,678.75,-71.25,112.5,1012.5,1155,1211.25,1132.5,511.6666666666667
30,-723.75,498.75,-93.75,-30,753.75,847.5,926.25,903.75,342.5
31,-843.75,330,-116.25,-202.5,472.5,543.75,652.5,678.75,168.33333333333334
32,-918.75,187.5,-123.75,-318.75,266.25,322.5,446.25,502.5,40.416666666666664
33,-952.5,63.75,-112.5,-330,183.75,198.75,303.75,356.25,-32.083333333333336
34,-945,-33.75,-101.25,-288.75,176.25,146.25,217.5,251.25,-64.16666666666667
35,-907.5,-86.25,-93.75,-236.25,195,146.25,202.5,221.25,-62.083333333333336
36,-896.25,-97.5,-71.25,-161.25,243.75,183.75,236.25,247.5,-35.0
37,-888.75,-108.75,-67.5,-116.25,255,191.25,240,251.25,-27.083333333333332
38,-858.75,-127.5,-75,-120,206.25,146.25,206.25,225,-44.166666666666664
39,-843.75,-146.25,-60,-112.5,168.75,112.5,183.75,210,-54.166666666666664
40,-817.5,-142.5,-26.25,-60,183.75,116.25,187.5,217.5,-37.916666666666664
41,-780,-120,11.25,3.75,217.5,138.75,206.25,232.5,-10.0
42,-750,-116.25,30,45,240,150,210,236.25,5.0
43,-708.75,-123.75,48.75,78.75,255,157.5,210,228.75,16.25
44,-705,-116.25,97.5,138.75,292.5,180,225,232.5,38.333333333333336
45,-746.25,-75,165,213.75,356.25,225,262.5,266.25,74.16666666666667
46,-757.5,-60,195,240,371.25,232.5,266.25,270,84.16666666666667
47,-708.75,-78.75,195,232.5,348.75,206.25,240,240,75.0
48,-660,-97.5,187.5,225,330,183.75,213.75,217.5,66.66666666666667
49,-648.75,-116.25,191.25,232.5,330,176.25,210,213.75,65.41666666666667
50,-671.25,-131.25,195,232.5,326.25,172.5,206.25,213.75,60.416666666666664
51,-690,-142.5,198.75,228.75,318.75,165,198.75,206.25,53.75
52,-697.5,-161.25,198.75,217.5,300,150,183.75,191.25,42.5
53,-690,-176.25,191.25,210,288.75,138.75,172.5,183.75,35.416666666666664
54,-697.5,-187.5,187.5,206.25,281.25,127.5,165,172.5,28.333333333333332
55,-697.5,-191.25,191.25,202.5,277.5,123.75,157.5,165,25.416666666666668
56,-693.75,-191.25,187.5,191.25,262.5,108.75,146.25,153.75,18.333333333333332
57,-716.25,-195,187.5,187.5,258.75,105,142.5,153.75,13.75
58,-708.75,-183.75,191.25,191.25,258.75,105,142.5,150,16.25
59,-690,-172.5,195,198.75,266.25,108.75,146.25,153.75,22.916666666666668
60,-701.25,-157.5,206.25,213.75,273.75,120,157.5,168.75,31.25
61,-675,-142.5,195,210,266.25,108.75,150,165,30.833333333333332
62,-656.25,-157.5,187.5,202.5,262.5,105,146.25,157.5,27.5
63,-697.5,-187.5,202.5,210,273.75,112.5,153.75,165,25.833333333333332
64,-701.25,-195,210,213.75,273.75,116.25,153.75,168.75,26.666666666666668
65,-682.5,-187.5,191.25,210,266.25,108.75,146.25,161.25,23.75
66,-678.75,-187.5,183.75,198.75,258.75,101.25,142.5,157.5,19.583333333333332
67,-663.75,-180,187.5,195,255,101.25,142.5,153.75,21.25
68,-648.75,-161.25,191.25,198.75,255,101.25,142.5,157.5,26.25
69,-667.5,-153.75,202.5,202.5,255,108.75,153.75,165,29.583333333333332
70,-686.25,-165,206.25,210,266.25,112.5,157.5,168.75,30.0
71,-678.75,-176.25,202.5,221.25,281.25,120,161.25,172.5,33.75
72,-678.75,-168.75,206.25,228.75,281.25,120,165,180,37.083333333333336
73,-667.5,-161.25,210,228.75,273.75,116.25,161.25,180,37.916666666666664
74,-652.5,-168.75,195,213.75,266.25,108.75,153.75,165,31.25
75,-648.75,-168.75,183.75,206.25,266.25,105,150,157.5,27.916666666666668
76,-645,-157.5,195,221.25,277.5,120,161.25,172.5,38.333333333333336
77,-633.75,-150,191.25,210,262.5,112.5,157.5,172.5,35.833333333333336
78,-648.75,-168.75,183.75,206.25,258.75,108.75,153.75,168.75,29.166666666666668
79,-656.25,-191.25,183.75,213.75,266.25,112.5,153.75,165,27.5
