samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-26.25	-26.25	-3.75	-22.5	37.5	3.75	0	11.25
1	-33.75	-37.5	0	-18.75	33.75	0	-3.75	7.5
2	-41.25	-52.5	3.75	-15	30	-7.5	-7.5	3.75
3	-33.75	-56.25	0	-18.75	22.5	-15	-18.75	-3.75
4	-30	-56.25	3.75	-22.5	15	-22.5	-26.25	-11.25
5	-45	-60	3.75	-22.5	15	-22.5	-26.25	-11.25
6	-52.5	-71.25	3.75	-26.25	11.25	-30	-33.75	-15
7	-30	-75	0	-30	3.75	-37.5	-41.25	-22.5
8	-26.25	-67.5	0	-33.75	0	-41.25	-45	-26.25
9	-30	-60	7.5	-30	0	-41.25	-48.75	-26.25
10	-30	-60	7.5	-30	0	-41.25	-48.75	-26.25
11	-45	-67.5	3.75	-30	-7.5	-45	-52.5	-30
12	-41.25	-63.75	7.5	-26.25	-3.75	-45	-48.75	-26.25
13	-30	-56.25	15	-15	3.75	-37.5	-37.5	-15
14	-33.75	-71.25	15	-15	3.75	-37.5	-41.25	-18.75
15	-33.75	-82.5	3.75	-22.5	-3.75	-48.75	-52.5	-26.25
16	-18.75	-75	0	-30	-11.25	-52.5	-56.25	-30
17	7.5	-56.25	3.75	-26.25	-7.5	-45	-52.5	-26.25
18	11.25	-48.75	7.5	-18.75	0	-41.25	-45	-18.75
19	-3.75	-52.5	7.5	-22.5	-3.75	-45	-48.75	-22.5
20	-22.5	-60	7.5	-26.25	-7.5	-48.75	-52.5	-26.25
21	-22.5	-60	3.75	-30	-11.25	-48.75	-52.5	-26.25
22	-15	-52.5	11.25	-22.5	-3.75	-41.25	-45	-22.5
23	-11.25	-45	18.75	-11.25	3.75	-33.75	-37.5	-18.75
24	-3.75	-45	18.75	-7.5	11.25	-30	-37.5	-15
25	-7.5	-48.75	15	-7.5	7.5	-33.75	-41.25	-15
26	-26.25	-60	11.25	-3.75	11.25	-33.75	-37.5	-15
27	-22.5	-71.25	0	-11.25	3.75	-41.25	-41.25	-18.75
28	-15	-78.75	0	-15	0	-41.25	-48.75	-18.75
29	-26.25	-78.75	7.5	-7.5	7.5	-33.75	-41.25	-15
30	-15	-67.5	11.25	-7.5	11.25	-30	-41.25	-15
31	-3.75	-67.5	3.75	-15	0	-37.5	-45	-22.5
32	-18.75	-75	-3.75	-18.75	0	-37.5	-45	-22.5
33	-52.5	-93.75	-7.5	-22.5	-3.75	-41.25	-48.75	-30
34	-41.25	-82.5	-7.5	-22.5	0	-41.25	-48.75	-30
35	-7.5	-56.25	-3.75	-11.25	7.5	-30	-37.5	-18.75
36	11.25	-41.25	7.5	-3.75	18.75	-22.5	-26.25	-7.5
37	48.75	-3.75	22.5	18.75	37.5	-3.75	-7.5	15
38	75	15	26.25	30	45	3.75	0	22.5
39	56.25	-7.5	15	18.75	37.5	-3.75	-7.5	15
40	33.75	-30	3.75	11.25	30	-11.25	-15	7.5
41	60	-11.25	7.5	11.25	30	-11.25	-11.25	15
42	63.75	0	11.25	15	37.5	-7.5	-7.5	18.75
43	26.25	-22.5	7.5	15	37.5	-7.5	-7.5	15
44	18.75	-30	0	11.25	33.75	-11.25	-11.25	7.5
45	22.5	-26.25	3.75	11.25	33.75	-7.5	-11.25	7.5
46	15	-26.25	3.75	15	33.75	-3.75	-7.5	11.25
47	18.75	-30	3.75	18.75	37.5	-3.75	-7.5	15
48	30	-30	0	15	33.75	-3.75	-7.5	15
49	37.5	-15	3.75	26.25	45	3.75	0	26.25
50	45	-7.5	11.25	37.5	56.25	15	11.25	37.5
51	63.75	0	11.25	37.5	60	18.75	15	45
52	63.75	3.75	3.75	33.75	52.5	11.25	11.25	37.5
53	45	-18.75	-7.5	22.5	45	3.75	0	26.25
54	48.75	-26.25	-11.25	22.5	45	3.75	3.75	26.25
55	60	-18.75	3.75	33.75	60	18.75	18.75	41.25
56	52.5	-18.75	0	30	52.5	15	11.25	33.75
57	48.75	0	-7.5	22.5	48.75	7.5	7.5	26.25
58	67.5	18.75	-3.75	30	52.5	11.25	7.5	30
59	71.25	18.75	-11.25	26.25	48.75	7.5	3.75	22.5
60	56.25	3.75	-15	30	52.5	7.5	3.75	22.5
61	56.25	3.75	-7.5	45	63.75	18.75	15	37.5
62	71.25	11.25	-3.75	48.75	67.5	26.25	22.5	45
63	82.5	15	-7.5	45	67.5	22.5	22.5	48.75
64	82.5	18.75	-11.25	37.5	60	22.5	18.75	45
65	82.5	22.5	-15	41.25	63.75	22.5	22.5	48.75
66	75	22.5	-11.25	48.75	67.5	26.25	26.25	48.75
67	97.5	22.5	-18.75	41.25	67.5	26.25	26.25	48.75
68	105	15	-18.75	41.25	63.75	22.5	26.25	45
69	97.5	18.75	-15	45	63.75	26.25	30	48.75
70	97.5	22.5	-11.25	45	67.5	30	33.75	52.5
71	90	7.5	-22.5	37.5	60	22.5	26.25	48.75
72	101.25	26.25	-18.75	48.75	67.5	33.75	37.5	60
73	138.75	71.25	0	71.25	90	52.5	60	82.5
74	161.25	75	0	75	90	52.5	63.75	86.25
75	168.75	71.25	-11.25	67.5	82.5	48.75	60	86.25
76	161.25	67.5	-18.75	60	78.75	48.75	60	86.25
77	146.25	60	-22.5	56.25	78.75	48.75	60	86.25
78	150	56.25	-30	56.25	75	48.75	60	86.25
79	138.75	45	-37.5	45	67.5	37.5	48.75	75
80	112.5	26.25	-37.5	37.5	56.25	30	45	71.25
81	112.5	33.75	-37.5	37.5	60	33.75	48.75	75
82	135	60	-33.75	45	63.75	41.25	56.25	82.5
83	153.75	75	-30	48.75	67.5	41.25	56.25	86.25
84	153.75	78.75	-26.25	52.5	71.25	41.25	56.25	90
85	161.25	78.75	-18.75	63.75	78.75	48.75	63.75	101.25
86	180	78.75	-30	60	75	45	63.75	97.5
87	172.5	63.75	-41.25	48.75	60	33.75	52.5	86.25
88	157.5	56.25	-41.25	45	60	30	52.5	90
89	161.25	60	-33.75	48.75	63.75	37.5	60	97.5
90	172.5	75	-33.75	48.75	63.75	37.5	60	101.25
91	176.25	86.25	-41.25	45	56.25	33.75	56.25	97.5
92	165	82.5	-41.25	37.5	48.75	26.25	52.5	90
93	176.25	93.75	-26.25	48.75	56.25	37.5	60	97.5
94	187.5	105	-22.5	52.5	63.75	45	67.5	105
95	172.5	97.5	-26.25	48.75	56.25	37.5	63.75	101.25
96	176.25	105	-22.5	56.25	60	41.25	63.75	108.75
97	195	112.5	-26.25	60	63.75	37.5	63.75	108.75
98	202.5	105	-26.25	60	60	33.75	60	108.75
99	183.75	90	-22.5	56.25	56.25	30	56.25	108.75
100	183.75	90	-18.75	56.25	52.5	30	56.25	105
101	195	93.75	-15	56.25	52.5	30	60	108.75
102	191.25	90	-18.75	52.5	48.75	26.25	52.5	105
103	157.5	75	-15	52.5	48.75	22.5	52.5	101.25
104	127.5	45	-30	33.75	30	7.5	37.5	82.5
105	131.25	41.25	-30	26.25	18.75	0	26.25	71.25
106	135	63.75	-15	37.5	30	11.25	37.5	82.5
107	138.75	78.75	-15	41.25	30	7.5	37.5	86.25
108	176.25	105	-7.5	48.75	37.5	15	45	93.75
109	202.5	135	3.75	71.25	56.25	30	56.25	105
110	183.75	120	7.5	75	56.25	30	52.5	105
111	153.75	78.75	-3.75	56.25	37.5	7.5	33.75	82.5
112	150	71.25	3.75	56.25	33.75	3.75	30	78.75
113	142.5	75	3.75	56.25	30	-3.75	22.5	75
114	116.25	60	3.75	48.75	26.25	-7.5	18.75	67.5
115	120	60	3.75	45	18.75	-15	11.25	60
116	131.25	63.75	7.5	41.25	15	-18.75	3.75	48.75
117	123.75	63.75	15	41.25	15	-22.5	3.75	45
118	131.25	75	22.5	48.75	22.5	-15	7.5	52.5
119	120	56.25	26.25	48.75	22.5	-18.75	0	45
120	105	45	30	45	18.75	-26.25	-7.5	33.75
121	105	60	41.25	60	30	-18.75	3.75	45
122	82.5	45	33.75	56.25	22.5	-22.5	-3.75	37.5
123	60	22.5	30	45	15	-30	-15	22.5
124	41.25	11.25	33.75	41.25	15	-30	-18.75	18.75
125	22.5	-7.5	33.75	33.75	7.5	-37.5	-26.25	11.25
126	11.25	-26.25	26.25	26.25	0	-45	-33.75	3.75
127	7.5	-37.5	26.25	15	-11.25	-56.25	-41.25	0
128	0	-45	30	11.25	-11.25	-56.25	-45	-3.75
129	15	-33.75	37.5	18.75	-7.5	-52.5	-41.25	-3.75
130	41.25	-3.75	52.5	30	3.75	-45	-33.75	3.75
131	41.25	3.75	60	37.5	11.25	-37.5	-26.25	3.75
132	0	-18.75	60	30	7.5	-45	-33.75	-3.75
133	-37.5	-26.25	52.5	26.25	3.75	-52.5	-41.25	-7.5
134	-30	-30	48.75	22.5	0	-56.25	-48.75	-15
135	-18.75	-52.5	37.5	3.75	-15	-71.25	-60	-26.25
136	-26.25	-63.75	37.5	3.75	-15	-71.25	-63.75	-22.5
137	-26.25	-63.75	41.25	3.75	-15	-67.5	-60	-22.5
138	-37.5	-67.5	37.5	0	-18.75	-71.25	-63.75	-30
