samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	281.25	146.25	26.25	-3.75	78.75	-30	-33.75	-18.75
1	277.5	146.25	26.25	-7.5	71.25	-30	-33.75	-18.75
2	251.25	123.75	26.25	-15	63.75	-37.5	-45	-30
3	243.75	112.5	30	-18.75	63.75	-37.5	-45	-33.75
4	236.25	112.5	26.25	-22.5	60	-41.25	-48.75	-37.5
5	217.5	108.75	30	-22.5	56.25	-48.75	-52.5	-41.25
6	213.75	105	30	-22.5	56.25	-52.5	-60	-48.75
7	228.75	120	33.75	-18.75	56.25	-52.5	-60	-48.75
8	210	105	26.25	-22.5	48.75	-60	-67.5	-52.5
9	195	71.25	11.25	-33.75	37.5	-71.25	-78.75	-63.75
10	176.25	45	7.5	-45	30	-75	-86.25	-71.25
11	138.75	26.25	7.5	-45	30	-75	-86.25	-71.25
12	153.75	48.75	15	-41.25	33.75	-71.25	-82.5	-67.5
13	195	75	18.75	-37.5	37.5	-67.5	-78.75	-60
14	202.5	71.25	18.75	-41.25	33.75	-67.5	-82.5	-63.75
15	172.5	37.5	7.5	-52.5	22.5	-78.75	-93.75	-78.75
16	172.5	37.5	7.5	-52.5	22.5	-78.75	-93.75	-78.75
17	183.75	48.75	11.25	-48.75	30	-75	-86.25	-75
18	180	48.75	11.25	-45	30	-75	-86.25	-71.25
19	180	60	18.75	-37.5	37.5	-67.5	-82.5	-67.5
20	161.25	45	11.25	-41.25	33.75	-75	-90	-71.25
21	172.5	48.75	11.25	-41.25	33.75	-75	-86.25	-67.5
22	187.5	60	11.25	-41.25	33.75	-71.25	-82.5	-67.5
23	168.75	41.25	7.5	-45	30	-78.75	-90	-71.25
24	176.25	45	7.5	-45	30	-75	-86.25	-71.25
25	180	60	15	-37.5	41.25	-67.5	-78.75	-63.75
26	142.5	33.75	11.25	-45	37.5	-71.25	-82.5	-71.25
27	127.5	11.25	3.75	-56.25	22.5	-78.75	-90	-78.75
28	153.75	26.25	3.75	-56.25	22.5	-78.75	-90	-78.75
29	157.5	37.5	11.25	-45	33.75	-71.25	-82.5	-71.25
